,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Queen,Bohemian Rhapsody,0.397,0.386,0,-10.405,0,0.0503,0.271,0.0,0.188,0.21,144.242,audio_features,6l8GvAyoUZwWDgF1e4822w,spotify:track:6l8GvAyoUZwWDgF1e4822w,https://api.spotify.com/v1/tracks/6l8GvAyoUZwWDgF1e4822w,https://api.spotify.com/v1/audio-analysis/6l8GvAyoUZwWDgF1e4822w,355400,4
1,Danny Vera,Roller Coaster,0.713,0.899,7,-3.386,1,0.0584,0.0956,0.0,0.387,0.611,120.027,audio_features,1fP8o0lIaSIE5jEeblT8df,spotify:track:1fP8o0lIaSIE5jEeblT8df,https://api.spotify.com/v1/tracks/1fP8o0lIaSIE5jEeblT8df,https://api.spotify.com/v1/audio-analysis/1fP8o0lIaSIE5jEeblT8df,179373,4
2,Eagles,Hotel California,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
3,Billy Joel,Piano Man,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,audio_features,70C4NyhjD5OZUMzvWZ3njJ,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/tracks/70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/audio-analysis/70C4NyhjD5OZUMzvWZ3njJ,339000,3
4,Coldplay,Fix You,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
5,Led Zeppelin,Stairway To Heaven,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4
6,Pearl Jam,Black,0.462,0.599,11,-5.735,0,0.0375,0.000278,0.000441,0.0909,0.173,123.938,audio_features,60TThBDrPpek5k520l0W0L,spotify:track:60TThBDrPpek5k520l0W0L,https://api.spotify.com/v1/tracks/60TThBDrPpek5k520l0W0L,https://api.spotify.com/v1/audio-analysis/60TThBDrPpek5k520l0W0L,294066,4
7,Boudewijn de Groot,Avond,0.479,0.365,0,-15.278,1,0.041,0.657,0.000544,0.12,0.166,98.183,audio_features,5Gc1NPkUBjkARUkH1Giwvh,spotify:track:5Gc1NPkUBjkARUkH1Giwvh,https://api.spotify.com/v1/tracks/5Gc1NPkUBjkARUkH1Giwvh,https://api.spotify.com/v1/audio-analysis/5Gc1NPkUBjkARUkH1Giwvh,276560,4
8,Metallica,Nothing Else Matters (Albumversie),0.381,0.161,0,-12.915,1,0.0369,0.84,0.0,0.143,0.356,135.813,audio_features,5KXVeVXTMuCJnkK8YSC3FC,spotify:track:5KXVeVXTMuCJnkK8YSC3FC,https://api.spotify.com/v1/tracks/5KXVeVXTMuCJnkK8YSC3FC,https://api.spotify.com/v1/audio-analysis/5KXVeVXTMuCJnkK8YSC3FC,393200,4
9,Queen,Love Of My Life,0.331,0.183,5,-11.63,1,0.0287,0.936,9.07e-06,0.115,0.26,79.195,audio_features,790YJcgHlN3SaosQCHlWzn,spotify:track:790YJcgHlN3SaosQCHlWzn,https://api.spotify.com/v1/tracks/790YJcgHlN3SaosQCHlWzn,https://api.spotify.com/v1/audio-analysis/790YJcgHlN3SaosQCHlWzn,217400,4
